商品名,正規化商品名,カテゴリ,品目区分,標準販売価格,原価,原価注記
【業務用】MANGO WONDER（500ml）,【業務用】MANGO WONDER（500ml）,その他,完成品,4500,1800,この原価はサンプル値です（完成品＝標準販売価格×40%、資材＝カテゴリ別の定額）。実原価ではないため、粗利の金額は参考値です。
【WHISKEY】Rice Whisly Wonder BOURBON BARREL Aged 7 years （700ml）〈ギフトセット〉,【WHISKEY】Rice Whisky Wonder BOURBON BARREL Aged 7 years （700ml）〈ギフトセット〉,ウイスキー,完成品,6500,2600,
【WHISKEY】Rice Whisly Wonder MIZUNARA Aged 14 years Limited Edition （720ml）★特別価格,【WHISKEY】Rice Whisky Wonder MIZUNARA Aged 14 years Limited Edition （720ml）★特別価格,ウイスキー,完成品,13125,5250,
【WHISKEY】〈ギフトセット〉Rice Whisky MIZUNARA 14年 （720ml）,【WHISKEY】〈ギフトセット〉Rice Whisky MIZUNARA 14年 （720ml）,ウイスキー,完成品,17500,7000,
【Whisky】Rice Whisky Wonder Bourbon Barrel [Aged 7 years],【Whisky】Rice Whisky Wonder Bourbon Barrel [Aged 7 years],ウイスキー,完成品,5500,2200,
【ウイスキー】Rice Whisky Wonder BOURBON  Aged 5 years（720ml）,【ウイスキー】Rice Whisky Wonder BOURBON Aged 5 years（720ml）,ウイスキー,完成品,3800,1520,
【ウイスキー】Rice Whisky Wonder BOURBON Aged 7 years（700ml）,【ウイスキー】Rice Whisky Wonder BOURBON Aged 7 years（700ml）,ウイスキー,完成品,4000,1600,
【ウイスキー】Rice Whisky Wonder MIZUNARA Aged 10 years（720ml）,【ウイスキー】Rice Whisky Wonder MIZUNARA Aged 10 years（720ml）,ウイスキー,完成品,4800,1920,
【ウイスキー】Rice Whisly Wonder MIZUNARA Aged 12 years（700ml）,【ウイスキー】Rice Whisky Wonder MIZUNARA Aged 12 years（700ml）,ウイスキー,完成品,4800,1920,
【ウイスキー】Rice Whisky Wonder MIZUNARA Aged 12 years（700ml）,【ウイスキー】Rice Whisky Wonder MIZUNARA Aged 12 years（700ml）,ウイスキー,完成品,5800,2320,
【ウイスキー】Rice Whisky Wonder MIZUNARA Aged 14 years（720ml）〈数量限定〉,【ウイスキー】Rice Whisky Wonder MIZUNARA Aged 14 years（720ml）〈数量限定〉,ウイスキー,完成品,,,
【ウイスキー】Rice Whisly Wonder MIZUNARA Aged 7 years（700ml）,【ウイスキー】Rice Whisky Wonder MIZUNARA Aged 7 years（700ml）,ウイスキー,完成品,4000,1600,
【ギフト資材】ショッパー（W210×H300mm）,【ギフト資材】ショッパー（W210×H300mm）,ギフト資材,資材,,120,
【ギフト資材】ショッパー（長方形：細長）〈ウイスキー用〉,【ギフト資材】ショッパー（長方形：細長）〈ウイスキー用〉,ギフト資材,資材,,120,
【ギフト資材】父の日ステッカー（ブルー×ホワイト）,【ギフト資材】父の日ステッカー（ブルー×ホワイト）,ギフト資材,資材,,120,
【ギフト資材】父の日メッセージカード（名刺サイズ）,【ギフト資材】父の日メッセージカード（名刺サイズ）,ギフト資材,資材,,120,
●父の日仕様●【BEER】Non-Ale Wonder 2本（310ml）〈ギフトセット〉,●父の日仕様●【BEER】Non-Ale Wonder 2本（310ml）〈ギフトセット〉,ビール,完成品,1800,720,
●父の日仕様●【BEER】Non-Ale Wonder 6本（310ml）〈ギフトセット〉,●父の日仕様●【BEER】Non-Ale Wonder 6本（310ml）〈ギフトセット〉,ビール,完成品,4500,1800,
●父の日仕様●【BEER】クラフトビール飲み比べ ギフトセット 2本（310ml）〈Barrel Wonder / Yuzu White Wonder 各1本〉,●父の日仕様●【BEER】クラフトビール飲み比べ ギフトセット 2本（310ml）〈Barrel Wonder / Yuzu White Wonder 各1本〉,ビール,完成品,3100,1240,
