商品名,正規化商品名,カテゴリ,品目区分,標準販売価格,原価,原価注記
【業務用】MANGO WONDER（500ml）,【業務用】MANGO WONDER（500ml）,その他,完成品,4500,,
【WHISKEY】Rice Whisly Wonder BOURBON BARREL Aged 7 years （700ml）〈ギフトセット〉,【WHISKEY】Rice Whisky Wonder BOURBON BARREL Aged 7 years （700ml）〈ギフトセット〉,ウイスキー,完成品,6500,,
【WHISKEY】Rice Whisly Wonder MIZUNARA Aged 14 years Limited Edition （720ml）★特別価格,【WHISKEY】Rice Whisky Wonder MIZUNARA Aged 14 years Limited Edition （720ml）★特別価格,ウイスキー,完成品,13125,,
【WHISKEY】〈ギフトセット〉Rice Whisky MIZUNARA 14年 （720ml）,【WHISKEY】〈ギフトセット〉Rice Whisky MIZUNARA 14年 （720ml）,ウイスキー,完成品,17500,,
【Whisky】Rice Whisky Wonder Bourbon Barrel [Aged 7 years],【Whisky】Rice Whisky Wonder Bourbon Barrel [Aged 7 years],ウイスキー,完成品,5500,,
【ウイスキー】Rice Whisky Wonder BOURBON  Aged 5 years（720ml）,【ウイスキー】Rice Whisky Wonder BOURBON Aged 5 years（720ml）,ウイスキー,完成品,3800,,
【ウイスキー】Rice Whisky Wonder BOURBON Aged 7 years（700ml）,【ウイスキー】Rice Whisky Wonder BOURBON Aged 7 years（700ml）,ウイスキー,完成品,4000,,
【ウイスキー】Rice Whisky Wonder MIZUNARA Aged 10 years（720ml）,【ウイスキー】Rice Whisky Wonder MIZUNARA Aged 10 years（720ml）,ウイスキー,完成品,4800,,
【ウイスキー】Rice Whisly Wonder MIZUNARA Aged 12 years（700ml）,【ウイスキー】Rice Whisky Wonder MIZUNARA Aged 12 years（700ml）,ウイスキー,完成品,4800,,
【ウイスキー】Rice Whisky Wonder MIZUNARA Aged 12 years（700ml）,【ウイスキー】Rice Whisky Wonder MIZUNARA Aged 12 years（700ml）,ウイスキー,完成品,5800,,
【ウイスキー】Rice Whisky Wonder MIZUNARA Aged 14 years（720ml）〈数量限定〉,【ウイスキー】Rice Whisky Wonder MIZUNARA Aged 14 years（720ml）〈数量限定〉,ウイスキー,完成品,,,
