"荷主コード","荷主名","拠点コード","拠点名","商品コード","枝番","商品名","上位商品コード","JANコード","ITFコード","カテゴリー名","仕入先コード","仕入先名","在庫数","数量単位","引当数","未引当数","入荷実績数","出荷実績数","属性１","属性２","属性３","ロットNo","製造日","賞味期限","入荷日","在庫区分名","入庫No","出荷期限","最終入庫日","最終出庫日"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933013","","★【ビール】Barrel Wonder　Amber Ale 001【370ml】","","","","","","","38","","2","36","0","12","","","","","","2027/05/31","2026/06/03","通常品","260731066906","2027/05/31","2026/08/24","2026/09/02"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933013","","★【ビール】Barrel Wonder　Amber Ale 001【370ml】","","","","","","","8","","0","8","0","0","","","","","","2027/05/31","2026/06/26","通常品","260731066907","2027/05/31","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933013","","★【ビール】Barrel Wonder　Amber Ale 001【370ml】","","","","","","","8","","0","8","0","0","","","","","","2027/05/31","2026/07/31","通常品","260731066856","2027/05/31","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933013","","★【ビール】Barrel Wonder　Amber Ale 001【370ml】","","","","","","","132","","0","132","0","0","","","","","","2027/06/30","2026/06/19","通常品","260731066909","2027/06/30","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933037","","★【ビール】Eisbock Wonder 001【370ml】","","","","","","","4","","2","2","0","3","","","","","","2027/04/30","2026/07/31","通常品","260731066857","2027/04/30","2026/07/31","2026/09/02"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933037","","★【ビール】Eisbock Wonder 001【370ml】","","","","","","","72","","0","72","0","0","","","","","","2027/05/31","2026/06/03","通常品","260731066913","2027/05/31","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933037","","★【ビール】Eisbock Wonder 001【370ml】","","","","","","","72","","0","72","0","0","","","","","","2027/06/30","2026/06/19","通常品","260731066914","2027/06/30","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","323","","0","323","0","1","","","","","","","2024/06/21","通常品","240621023819","","2024/06/21","2026/08/28"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","30","","0","30","0","0","","","","","","","2024/09/11","通常品","240911026543","","2024/09/11",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","8","","0","8","0","0","","","","","","","2024/09/12","通常品","240912026586","","2024/09/12",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","21","","0","21","0","0","","","","","","","2024/11/18","通常品","241118034025","","2024/11/18",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","6","","0","6","0","0","","","","","","","2024/11/19","通常品","241119034043","","2024/11/19",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","8","","0","8","0","0","","","","","","","2024/12/26","通常品","241226036208","","2024/12/26",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","3","","0","3","0","0","","","","","","","2025/02/27","通常品","250227040185","","2025/02/27",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","3","","0","3","0","0","","","","","","","2025/03/03","通常品","250303040216","","2025/03/03",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","1","","0","1","0","0","","","","","","","2025/03/14","通常品","250314043809","","2025/03/14",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","10","","0","10","0","0","","","","","","","2025/03/18","通常品","250318043912","","2025/03/18",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","2","","0","2","0","0","","","","","","","2025/04/16","通常品","250416045449","","2025/04/16",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","1","","0","1","0","0","","","","","","","2025/05/19","通常品","250519045901","","2025/05/19",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","3","","0","3","0","0","","","","","","","2025/06/06","通常品","250606046591","","2025/06/06",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","5","","0","5","0","0","","","","","","","2025/07/23","通常品","250723047691","","2025/07/23",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","700","","0","700","0","0","","","","","","","2025/08/26","通常品","250826049593","","2025/08/26",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","7","","0","7","0","0","","","","","","","2025/11/04","通常品","251104057144","","2025/12/22",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","2","","0","2","0","0","","","","","","","2026/05/26","通常品","260526064848","","2026/05/26",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","2","","0","2","0","0","","","","","","","2026/06/01","通常品","260601065115","","2026/06/01",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933068","","★【ウイスキー】Rice Whisky Wonder MIZUNARA【14年】","","","","","","","2","","0","2","0","0","","","","","","","2026/07/31","通常品","260731066858","","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","4595989933075","","★【ビール】Yuzu White Wonder【310ml】","","","","","","","225","","0","225","0","0","","","","","","2027/08/31","2026/08/20","通常品","260820067668","2027/08/31","2026/08/20","2026/09/02"
"000250","CRAFT WONDER","001","ソネッティーク","4595989933075","","★【ビール】Yuzu White Wonder【310ml】","","","","","","","1","","0","1","0","0","B級品","","","","","2027/04/30","2026/05/26","通常品","260731066920","2027/04/30","2026/07/31",""
